PRODUCT_TYPE_NAME,PRODUCT_CLASS_NAME,PRODUCT_SUB_CLASS_NAME,PRODUCT_MINOR_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,CURRENT_DISPLAY_PRICE,SWEETNESS_CODE
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,144642,BAROLO - LA COLLINA DEI RE 2008/10,8775590100080,0.75,1,13.5,39.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,146555,CHATEAU LA MISSION HAUT BRION 2009,,0.75,1,13,1800,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,CHILE,147819,SYRAH - FALERNIA RESERVA ELQUI,7809623200315,0.75,1,14,18.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,AUSTRALIA,151407,CABERNET SHIRAZ MALBEC - BLEASDALE LANGHORNE CROSSING,9316475001079,0.75,1,13.5,10.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,ITALY,151860,PINOT GRIGIO DELLE VENEZIE - KRIS 2013,98709436206,0.75,1,12.5,19.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,153908,LE DOME 2008,3419466182040,0.75,1,13.5,183.97,0
LIQUOR,REFRESHMENT BEVERAGE,COOLERS,SPIRIT,CANADA,154336,MONSOON - GUAVA MELON MIST,626990102922,0.355,6,5,9.99,8
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,155705,CHATEAU D'YQUEM 2009,3258691394732,0.75,1,13,1500,10
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,SPAIN,156224,MONSTANT - ACUSTIC 2010,8437008073002,0.75,1,14.5,24.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,15701,BRUNELLO DI MONTALCINO RIS - VITANZA 06/07,804401020229,0.75,1,13.5,94.95,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,15719,CHATEAUNEUF DU PAPE - VIEUX LAZARET CUV EXCEPTIONNELLE 07/09,3345122000758,0.75,1,13.8,59.93,0
LIQUOR,SPIRITS,GIN,DRY GIN,CANADA,157198,URBAN DISTILLERIES - SPIRIT BEAR OKANAGAN GIN,885760000039,0.75,1,40,45,NA
LIQUOR,WINE,SPARKLING WINE,SPARKLING WINE WHITE,GERMANY,159558,DEINHARD - LILA RIESLING BRUT,4028500132119,0.75,1,11.3,15.49,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,161117,BROUILLY - CHATEAU DE PIERREUX 12/13,3264380065418,0.75,1,13.5,21.99,0
LIQUOR,SPIRITS,COGNAC,COGNAC,FRANCE,162784,COURVOISIER - X.O. IMPERIAL,3049197810020,0.75,1,40,238.88,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,GERMANY,163584,PINOT GRIGIO - PALATAIA,7340048600811,0.75,1,13,10.47,0
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,PORT,PORTUGAL,164129,TAYLOR FLADGATE - FINE WHITE,5013626111239,0.75,1,20,21.99,10
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,SPAIN,165316,CATALUNYA - TORRES VINA ESMERALDA,8410113001139,0.75,1,11,14.99,1
